cycle_id,created_at,updated_at,sport_id,activity_id,gps_enabled,intensity_score,max_heart_rate,average_heart_rate,distance,performance,energy,rpe,raw_intensity_score,altitude_gain,altitude_change,cumulative_workout_intensity,zone_durations,projected_score,confidence,wac_prediction,kilojoules,user_id,during,timezone_offset,survey_response_id,percent_recorded,auto_detected,state,responded,team_act_id,source,id,name
279562944,2022-09-30T12:45:56.697+0000,2022-09-30T12:57:52.940+0000,63,520074342,True,5.19,148,102,2401.2920195586075,,,,0.0006624910020736895,65.94342,1.034277,0.0,"[298042, 1048788, 372989, 130736, 0, 0]",,,,468.5374450683594,1508418,"['2022-09-30T12:15:05.058Z','2022-09-30T12:45:55.140Z')",-0400,,1.0,False,complete,False,,user,63.0,Walking
279186291,2022-09-30T01:02:26.531+0000,2022-09-30T01:07:44.530+0000,30,519746338,False,14.1304,172,128,,,,,0.009011740841473386,,,0.0,"[688336, 981492, 619084, 531603, 1939916, 1923]",,,,3014.755859375,1508418,"['2022-09-29T23:43:02.915Z','2022-09-30T01:02:25.245Z')",-0400,,1.0,False,complete,False,,user,30.0,Soccer
278807248,2022-09-28T14:19:23.409+0000,2022-09-28T14:19:28.965+0000,45,518877196,False,5.943,151,115,,,,,0.0010752012002380532,,,0.0,"[17304, 492212, 766162, 223985, 0, 0]",,,,671.8909912109375,1508418,"['2022-09-28T13:17:00.000Z','2022-09-28T13:42:00.000Z')",-0400,,1.0,False,complete,False,,user,45.0,Weightlifting
278807248,2022-09-28T12:46:33.271+0000,2022-09-28T12:55:14.019+0000,63,518808154,True,6.1115,148,112,2385.5315417566217,,,,0.0011696896568074507,56.804493,-1.546514,0.0,"[150964, 504686, 902665, 252811, 0, 0]",,,,757.3972778320312,1508418,"['2022-09-28T12:16:20.447Z','2022-09-28T12:46:31.721Z')",-0400,,1.0,False,complete,False,,user,63.0,Walking
278343396,2022-09-27T14:42:42.400+0000,2022-09-27T14:44:30.105+0000,45,518225944,False,4.8788,135,97,,,,,0.0004962595588922291,,,0.0,"[384523, 1260246, 300887, 15419, 0, 0]",,,,380.31268310546875,1508418,"['2022-09-27T14:09:55.000Z','2022-09-27T14:42:36.000Z')",-0400,,1.0,False,complete,False,,external,45.0,Weightlifting
278033451,2022-09-26T23:15:21.110+0000,2022-09-26T23:21:34.673+0000,30,517748360,False,13.8813,175,140,,,,,0.008518804155843836,,,0.0,"[100013, 275896, 655612, 1105504, 1574622, 22110]",,,,2921.924072265625,1508418,"['2022-09-26T22:13:06.773Z','2022-09-26T23:15:20.635Z')",-0400,101103063.0,1.0,False,complete,True,,user,30.0,Soccer
278033451,2022-09-26T13:49:33.789+0000,2022-09-26T14:00:55.051+0000,45,517519133,False,4.9103,125,98,,,,,0.000512979109413084,,,0.0,"[381625, 1469876, 301850, 0, 0, 0]",,,,426.9497985839844,1508418,"['2022-09-26T13:13:33.000Z','2022-09-26T13:49:27.000Z')",-0400,,1.0,False,complete,False,,external,45.0,Weightlifting
278033451,2022-09-26T12:43:11.559+0000,2022-09-26T12:52:20.909+0000,63,517467322,True,5.9602,152,110,2278.4368060491597,,,,0.0010847885959888357,51.734863,0.089262,0.0,"[199992, 674837, 588302, 370105, 15381, 0]",,,,681.1265258789062,1508418,"['2022-09-26T12:12:20.315Z','2022-09-26T12:43:09.050Z')",-0400,,1.0,False,complete,False,,user,63.0,Walking
277274251,2022-09-24T20:35:05.182+0000,2022-09-24T20:35:10.534+0000,97,516469906,False,4.1314,118,106,,,,,0.0001062145588453466,,,0.0,"[0, 224024, 76904, 0, 0, 0]",,,,75.87989807128906,1508418,"['2022-09-24T20:21:59.000Z','2022-09-24T20:26:59.000Z')",-0400,,1.0,False,complete,False,,external,97.0,Spin
277274251,2022-09-24T20:35:05.026+0000,2022-09-24T20:35:10.442+0000,97,516469905,False,4.7853,127,108,,,,,0.000446759011369488,,,0.0,"[5768, 817109, 377834, 0, 0, 0]",,,,330.9820251464844,1508418,"['2022-09-24T20:01:42.000Z','2022-09-24T20:21:42.000Z')",-0400,,1.0,False,complete,False,,external,97.0,Spin
277274251,2022-09-24T20:35:04.867+0000,2022-09-24T20:35:10.237+0000,97,516469904,False,4.0754,125,99,,,,,7.74491451766259e-05,,,0.0,"[58678, 217256, 24032, 0, 0, 0]",,,,64.73406982421875,1508418,"['2022-09-24T19:56:12.000Z','2022-09-24T20:01:12.000Z')",-0400,,1.0,False,complete,False,,external,97.0,Spin
